DATE,GGGDTAITA188N
1988-01-01,92.97
1989-01-01,95.571
1990-01-01,98.786
1991-01-01,102.281
1992-01-01,109.719
1993-01-01,120.539
1994-01-01,127.07
1995-01-01,116.909
1996-01-01,116.341
1997-01-01,113.764
1998-01-01,110.808
1999-01-01,109.656
2000-01-01,105.106
2001-01-01,104.727
2002-01-01,101.923
2003-01-01,100.485
2004-01-01,100.089
2005-01-01,101.941
2006-01-01,102.557
2007-01-01,99.792
2008-01-01,102.405
2009-01-01,112.547
2010-01-01,115.413
2011-01-01,116.522
2012-01-01,123.360
2013-01-01,129.020
2014-01-01,131.785
2015-01-01,131.511
2016-01-01,132.041
2017-01-01,131.808
